"","dim","delta","ir","k","tau_label","count"
"1","10","0","0.1","1","0",60
"2","10","0","0.1","1",".1",104
"3","10","0","0.1","1",".2",104
"4","10","0","0.1","1",".3",104
"5","10","0","0.1","1",".4",104
"6","10","0","0.1","1",".5",104
"7","10","0","0.1","1",".6",104
"8","10","0","0.1","1",".7",104
"9","10","0","0.1","1",".8",104
"10","10","0","0.1","1",".9",104
"11","10","0","0.1","1","1",100
"12","10","0","0.1","2","0",60
"13","10","0","0.1","2",".1",104
"14","10","0","0.1","2",".2",104
"15","10","0","0.1","2",".3",104
"16","10","0","0.1","2",".4",104
"17","10","0","0.1","2",".5",104
"18","10","0","0.1","2",".6",104
"19","10","0","0.1","2",".7",104
"20","10","0","0.1","2",".8",104
"21","10","0","0.1","2",".9",104
"22","10","0","0.1","2","1",100
"23","10","0","0.1","3","0",60
"24","10","0","0.1","3",".1",104
"25","10","0","0.1","3",".2",104
"26","10","0","0.1","3",".3",104
"27","10","0","0.1","3",".4",104
"28","10","0","0.1","3",".5",104
"29","10","0","0.1","3",".6",104
"30","10","0","0.1","3",".7",104
"31","10","0","0.1","3",".8",104
"32","10","0","0.1","3",".9",104
"33","10","0","0.1","3","1",100
"34","10","0","0.1","4","0",60
"35","10","0","0.1","4",".1",104
"36","10","0","0.1","4",".2",104
"37","10","0","0.1","4",".3",104
"38","10","0","0.1","4",".4",104
"39","10","0","0.1","4",".5",104
"40","10","0","0.1","4",".6",104
"41","10","0","0.1","4",".7",104
"42","10","0","0.1","4",".8",104
"43","10","0","0.1","4",".9",104
"44","10","0","0.1","4","1",100
"45","10","0","0.1","5","0",60
"46","10","0","0.1","5",".1",104
"47","10","0","0.1","5",".2",104
"48","10","0","0.1","5",".3",104
"49","10","0","0.1","5",".4",104
"50","10","0","0.1","5",".5",104
"51","10","0","0.1","5",".6",104
"52","10","0","0.1","5",".7",104
"53","10","0","0.1","5",".8",104
"54","10","0","0.1","5",".9",104
"55","10","0","0.1","5","1",100
"56","10","0","0.25","1","0",60
"57","10","0","0.25","1",".1",66
"58","10","0","0.25","1",".2",66
"59","10","0","0.25","1",".3",66
"60","10","0","0.25","1",".4",66
"61","10","0","0.25","1",".5",66
"62","10","0","0.25","1",".6",66
"63","10","0","0.25","1",".7",66
"64","10","0","0.25","1",".8",66
"65","10","0","0.25","1",".9",66
"66","10","0","0.25","1","1",84
"67","10","0","0.25","2","0",60
"68","10","0","0.25","2",".1",66
"69","10","0","0.25","2",".2",66
"70","10","0","0.25","2",".3",66
"71","10","0","0.25","2",".4",66
"72","10","0","0.25","2",".5",66
"73","10","0","0.25","2",".6",66
"74","10","0","0.25","2",".7",66
"75","10","0","0.25","2",".8",66
"76","10","0","0.25","2",".9",66
"77","10","0","0.25","2","1",84
"78","10","0","0.25","3","0",60
"79","10","0","0.25","3",".1",66
"80","10","0","0.25","3",".2",66
"81","10","0","0.25","3",".3",66
"82","10","0","0.25","3",".4",66
"83","10","0","0.25","3",".5",66
"84","10","0","0.25","3",".6",66
"85","10","0","0.25","3",".7",66
"86","10","0","0.25","3",".8",66
"87","10","0","0.25","3",".9",66
"88","10","0","0.25","3","1",84
"89","10","0","0.25","4","0",60
"90","10","0","0.25","4",".1",66
"91","10","0","0.25","4",".2",66
"92","10","0","0.25","4",".3",66
"93","10","0","0.25","4",".4",66
"94","10","0","0.25","4",".5",66
"95","10","0","0.25","4",".6",66
"96","10","0","0.25","4",".7",66
"97","10","0","0.25","4",".8",66
"98","10","0","0.25","4",".9",66
"99","10","0","0.25","4","1",84
"100","10","0","0.25","5","0",60
"101","10","0","0.25","5",".1",66
"102","10","0","0.25","5",".2",66
"103","10","0","0.25","5",".3",66
"104","10","0","0.25","5",".4",66
"105","10","0","0.25","5",".5",66
"106","10","0","0.25","5",".6",66
"107","10","0","0.25","5",".7",66
"108","10","0","0.25","5",".8",66
"109","10","0","0.25","5",".9",66
"110","10","0","0.25","5","1",84
"111","10","0","0.5","1","0",98
"112","10","0","0.5","1",".1",53
"113","10","0","0.5","1",".2",53
"114","10","0","0.5","1",".3",53
"115","10","0","0.5","1",".4",53
"116","10","0","0.5","1",".5",53
"117","10","0","0.5","1",".6",53
"118","10","0","0.5","1",".7",53
"119","10","0","0.5","1",".8",53
"120","10","0","0.5","1",".9",53
"121","10","0","0.5","1","1",70
"122","10","0","0.5","2","0",98
"123","10","0","0.5","2",".1",53
"124","10","0","0.5","2",".2",53
"125","10","0","0.5","2",".3",53
"126","10","0","0.5","2",".4",53
"127","10","0","0.5","2",".5",53
"128","10","0","0.5","2",".6",53
"129","10","0","0.5","2",".7",53
"130","10","0","0.5","2",".8",53
"131","10","0","0.5","2",".9",53
"132","10","0","0.5","2","1",70
"133","10","0","0.5","3","0",98
"134","10","0","0.5","3",".1",53
