"","dim","delta","ir","Comparison","Difference"
"1",10,0,0.1,"P-CCCD",0.50535
"2",10,0,0.25,"P-CCCD",0.504
"3",10,0,0.5,"P-CCCD",0.5024
"4",10,0,0.75,"P-CCCD",0.5
"5",10,0,1,"P-CCCD",0.5
"6",10,0.25,0.1,"P-CCCD",0.779264705882353
"7",10,0.25,0.25,"P-CCCD",0.845278481012658
"8",10,0.25,0.5,"P-CCCD",0.8756875
"9",10,0.25,0.75,"P-CCCD",0.881576923076923
"10",10,0.25,1,"P-CCCD",0.88475
"11",10,0.5,0.1,"P-CCCD",0.989163265306122
"12",10,0.5,0.25,"P-CCCD",0.995
"13",10,0.5,0.5,"P-CCCD",0.9956
"14",10,0.5,0.75,"P-CCCD",0.996
"15",10,0.5,1,"P-CCCD",0.995666666666667
"16",10,0.75,0.1,"P-CCCD",1
"17",10,0.75,0.25,"P-CCCD",1
"18",10,0.75,0.5,"P-CCCD",1
"19",10,0.75,0.75,"P-CCCD",1
"20",10,0.75,1,"P-CCCD",1
"21",10,1,0.1,"P-CCCD",1
"22",10,1,0.25,"P-CCCD",1
"23",10,1,0.5,"P-CCCD",1
"24",10,1,0.75,"P-CCCD",1
"25",10,1,1,"P-CCCD",1
"26",2,0,0.1,"P-CCCD",0.504583333333333
"27",2,0,0.25,"P-CCCD",0.5
"28",2,0,0.5,"P-CCCD",0.5
"29",2,0,0.75,"P-CCCD",0.5
"30",2,0,1,"P-CCCD",0.5
"31",2,0.25,0.1,"P-CCCD",0.698119402985075
"32",2,0.25,0.25,"P-CCCD",0.70316393442623
"33",2,0.25,0.5,"P-CCCD",0.707724137931035
"34",2,0.25,0.75,"P-CCCD",0.714779487179487
"35",2,0.25,1,"P-CCCD",0.714783783783784
"36",2,0.5,0.1,"P-CCCD",0.855716981132076
"37",2,0.5,0.25,"P-CCCD",0.866443396226415
"38",2,0.5,0.5,"P-CCCD",0.87060396039604
"39",2,0.5,0.75,"P-CCCD",0.866466666666667
"40",2,0.5,1,"P-CCCD",0.867571428571429
"41",2,0.75,0.1,"P-CCCD",0.958773333333333
"42",2,0.75,0.25,"P-CCCD",0.962984848484848
"43",2,0.75,0.5,"P-CCCD",0.965078947368421
"44",2,0.75,0.75,"P-CCCD",0.963407407407407
"45",2,0.75,1,"P-CCCD",0.9675
"46",2,1,0.1,"P-CCCD",0.997
"47",2,1,0.25,"P-CCCD",1
"48",2,1,0.5,"P-CCCD",1
"49",2,1,0.75,"P-CCCD",1
"50",2,1,1,"P-CCCD",1
"51",3,0,0.1,"P-CCCD",0.5
"52",3,0,0.25,"P-CCCD",0.5
"53",3,0,0.5,"P-CCCD",0.500227272727273
"54",3,0,0.75,"P-CCCD",0.5
"55",3,0,1,"P-CCCD",0.501428571428571
"56",3,0.25,0.1,"P-CCCD",0.713133333333333
"57",3,0.25,0.25,"P-CCCD",0.752770491803279
"58",3,0.25,0.5,"P-CCCD",0.768472972972973
"59",3,0.25,0.75,"P-CCCD",0.77071568627451
"60",3,0.25,1,"P-CCCD",0.771028571428571
"61",3,0.5,0.1,"P-CCCD",0.910284482758621
"62",3,0.5,0.25,"P-CCCD",0.925806818181818
"63",3,0.5,0.5,"P-CCCD",0.928794871794872
"64",3,0.5,0.75,"P-CCCD",0.929979166666667
"65",3,0.5,1,"P-CCCD",0.928
"66",3,0.75,0.1,"P-CCCD",0.981961538461538
"67",3,0.75,0.25,"P-CCCD",0.982769230769231
"68",3,0.75,0.5,"P-CCCD",0.9898
"69",3,0.75,0.75,"P-CCCD",0.99
"70",3,0.75,1,"P-CCCD",0.9908
"71",3,1,0.1,"P-CCCD",1
"72",3,1,0.25,"P-CCCD",1
"73",3,1,0.5,"P-CCCD",0.999666666666667
"74",3,1,0.75,"P-CCCD",1
"75",3,1,1,"P-CCCD",1
"76",5,0,0.1,"P-CCCD",0.5
"77",5,0,0.25,"P-CCCD",0.5
"78",5,0,0.5,"P-CCCD",0.5
"79",5,0,0.75,"P-CCCD",0.5
"80",5,0,1,"P-CCCD",0.5
"81",5,0.25,0.1,"P-CCCD",0.707068965517241
"82",5,0.25,0.25,"P-CCCD",0.786685714285714
"83",5,0.25,0.5,"P-CCCD",0.820211267605634
"84",5,0.25,0.75,"P-CCCD",0.834972789115646
"85",5,0.25,1,"P-CCCD",0.839321428571429
"86",5,0.5,0.1,"P-CCCD",0.9499375
"87",5,0.5,0.25,"P-CCCD",0.966142857142857
"88",5,0.5,0.5,"P-CCCD",0.9703
"89",5,0.5,0.75,"P-CCCD",0.973703703703704
"90",5,0.5,1,"P-CCCD",0.977375
"91",5,0.75,0.1,"P-CCCD",0.991857142857143
"92",5,0.75,0.25,"P-CCCD",0.997
"93",5,0.75,0.5,"P-CCCD",0.9985
"94",5,0.75,0.75,"P-CCCD",0.998222222222222
"95",5,0.75,1,"P-CCCD",0.99825
