"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9"
"result" 250 0.25 0.5 1 0.998 1 1 1 1
"result" 250 0.25 0.5 1 0.996666666666667 1 1 1 1
"result" 250 0.25 0.5 1 1 0.99625 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 0.996666666666667 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 0.998333333333333 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 0.998 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 0.998 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 0.998 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 0.996875 1 1 1 1
"result" 250 0.25 0.5 1 0.995714285714286 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 0.997 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 0.998 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 0.9955 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 0.998333333333333 1 1 1 1
"result" 250 0.25 0.5 1 0.998 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 0.998 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 0.998 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
"result" 250 0.25 0.5 1 1 1 1 1 1
